input,output
can you make a restaurant reservation with vietnamese food in seoul # ,how many people would be in your party
can you make a restaurant reservation with vietnamese food in seoul # how many people would be in your party # for eight please # ,which price range are looking for
can you make a restaurant reservation with vietnamese food in seoul # how many people would be in your party # for eight please # which price range are looking for # in a cheap price range please # ,api_call
instead could it be for six # ,sure is there anything else to update
instead could it be with thai food # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table for two in a moderate price range # ,any preference on a type of cuisine
i'd like to book a table for two in a moderate price range # any preference on a type of cuisine # with thai food # ,where should it be
i'd like to book a table for two in a moderate price range # any preference on a type of cuisine # with thai food # where should it be # in tokyo # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in bangkok for eight people # ,any preference on a type of cuisine
i'd like to book a table in bangkok for eight people # any preference on a type of cuisine # with korean cuisine # ,which price range are looking for
i'd like to book a table in bangkok for eight people # any preference on a type of cuisine # with korean cuisine # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be with japanese cuisine # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # may i have the address of the restaurant # ,_address
what is the phone number of the restaurant # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table for four people # ,any preference on a type of cuisine
i'd like to book a table for four people # any preference on a type of cuisine # with cantonese cuisine # ,where should it be
i'd like to book a table for four people # any preference on a type of cuisine # with cantonese cuisine # where should it be # hanoi please # ,which price range are looking for
i'd like to book a table for four people # any preference on a type of cuisine # with cantonese cuisine # where should it be # hanoi please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
